,Date,Open,High,Low,Close,Vol.,Change %,tr1,tr2,tr3,tr,atr,close_std,atr_std
28,2020-02-11,174.48,174.55,174.13,174.26,766.47K,-0.18%,0.4200000000000159,0.01999999999998181,0.4399999999999977,0.4399999999999977,0.055459183673469414,0.5713359128173795,0.0034170260930889112
29,2020-02-12,174.17,174.2,173.72,174.02,737.95K,-0.14%,0.47999999999998977,0.060000000000002274,0.539999999999992,0.539999999999992,0.05433673469387758,0.47580585199359987,0.003263018864202529
30,2020-02-13,174.16,174.64,174.05,174.27,879.84K,0.14%,0.589999999999975,0.6199999999999761,0.030000000000001137,0.6199999999999761,0.052704081632652985,0.392000364431507,0.003171213130659326
31,2020-02-14,174.29,174.59,174.1,174.48,470.47K,0.12%,0.4900000000000091,0.3199999999999932,0.17000000000001592,0.4900000000000091,0.05015306122448971,0.3948459151408885,0.0032144525741886003
32,2020-02-17,174.35,174.52,174.08,174.45,264.96K,-0.02%,0.4399999999999977,0.040000000000020464,0.39999999999997726,0.4399999999999977,0.04729591836734685,0.35232118837840665,0.003208696465080611
33,2020-02-18,174.51,174.92,174.29,174.53,761.81K,0.05%,0.6299999999999955,0.46999999999999886,0.1599999999999966,0.6299999999999955,0.04607142857142843,0.34375112387451223,0.0034048827263261404
34,2020-02-19,174.41,174.74,174.28,174.66,635.29K,0.07%,0.46000000000000796,0.21000000000000796,0.25,0.46000000000000796,0.04540816326530601,0.34810396956445316,0.0036742791462545062
35,2020-02-20,174.55,175.12,174.51,174.96,869.93K,0.17%,0.6100000000000136,0.46000000000000796,0.15000000000000568,0.6100000000000136,0.04270408163265294,0.33729124598118637,0.004380767317353242
36,2020-02-21,174.98,175.37,174.77,174.93,955.61K,-0.02%,0.5999999999999943,0.4099999999999966,0.18999999999999773,0.5999999999999943,0.043112244897959125,0.34303749835095904,0.004883882939490944
37,2020-02-24,175.39,175.86,175.13,175.58,1.26M,0.37%,0.7300000000000182,0.9300000000000068,0.19999999999998863,0.9300000000000068,0.04367346938775511,0.46653563047817526,0.005224806911770815
38,2020-02-25,175.37,176.21,175.21,176.02,1.13M,0.25%,1.0,0.6299999999999955,0.37000000000000455,1.0,0.0437755102040817,0.5948187460559222,0.005376094480246284
39,2020-02-26,175.88,176.3,175.38,175.83,1.41M,-0.11%,0.9200000000000159,0.28000000000000114,0.6400000000000148,0.9200000000000159,0.045714285714285756,0.6276136559214812,0.005241555163002235
40,2020-02-27,175.99,176.89,175.86,176.58,1.34M,0.43%,1.0299999999999727,1.0599999999999739,0.030000000000001137,1.0599999999999739,0.04806122448979585,0.7671611719427182,0.00475834989428543
41,2020-02-28,176.52,177.79,176.52,177.46,1.46M,0.50%,1.2699999999999818,1.2099999999999795,0.060000000000002274,1.2699999999999818,0.05107142857142838,1.0105653406349364,0.004262740582131543
42,2020-03-02,177.82,178.38,177.0,177.83,1.98M,0.21%,1.3799999999999955,0.9199999999999875,0.46000000000000796,1.3799999999999955,0.055867346938775306,1.2022990796484125,0.004319986325904622
43,2020-03-03,177.41,178.25,176.83,177.74,1.84M,-0.05%,1.4199999999999875,0.4199999999999875,1.0,1.4199999999999875,0.06035714285714263,1.282261909438163,0.00522073884581791
44,2020-03-04,178.23,178.36,177.46,177.9,1.17M,0.09%,0.9000000000000057,0.6200000000000045,0.28000000000000114,0.9000000000000057,0.061785714285714215,1.3438563911372599,0.006270848809476911
45,2020-03-05,177.55,178.9,177.5,178.59,167.78K,0.39%,1.4000000000000057,1.0,0.4000000000000057,1.4000000000000057,0.06642857142857134,1.4487387466498174,0.007829516180730033
46,2020-03-06,179.02,179.56,179.0,179.44,12.75K,0.48%,0.5600000000000023,0.9699999999999989,0.4099999999999966,0.9699999999999989,0.0691326530612244,1.5873575042045345,0.009271400164253287
47,2020-03-09,177.21,179.31,177.05,178.23,994.79K,-0.67%,2.259999999999991,0.12999999999999545,2.3899999999999864,2.3899999999999864,0.07811224489795905,1.5275745696805518,0.01147899751769465
48,2020-03-10,177.55,177.91,175.41,177.59,1.28M,-0.36%,2.5,0.3199999999999932,2.819999999999993,2.819999999999993,0.09015306122448959,1.4015478100075534,0.014697671762414733
49,2020-03-11,177.07,177.91,176.55,176.77,1.01M,-0.46%,1.3599999999999852,0.3199999999999932,1.039999999999992,1.3599999999999852,0.09397959183673434,1.2715174373194162,0.017027855699009817
50,2020-03-12,176.81,177.64,175.9,176.5,1.01M,-0.15%,1.7399999999999807,0.8699999999999761,0.8700000000000045,1.7399999999999807,0.09979591836734651,1.1179789457220104,0.019109897134882557
